"Rk","Player","Nation","Pos","Squad","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Market_Value_Euro","Year"
249,"Tariq Lamptey","gh GHA","DF","Chelsea",18,2000,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,2,1,0,0,0,0,0,0,0.18,0.18,0,0.18,1.8e+07,2020
250,"Tariq Lamptey","gh GHA","DF","Brighton",18,2000,8,7,588,6.5,0,1,1,0,0,0,2,0,0.1,0.1,1,1.1,17,15,32,0,0.15,0.15,0,0.15,0.01,0.15,0.16,0.01,0.16,1.8e+07,2020
251,"Henri Lansbury","eng ENG","MF","Aston Villa",28,1990,10,2,195,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,7,2,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,1e+06,2020
252,"Manuel Lanzini","ar ARG","MF,FW","West Ham",26,1993,24,14,1379,15.3,0,2,2,0,0,0,1,0,2.2,2.2,2.2,4.4,46,77,59,0,0.13,0.13,0,0.13,0.14,0.15,0.29,0.14,0.29,1e+07,2020
253,"Aymeric Laporte","es ESP","DF","Manchester City",25,1994,15,14,1097,12.2,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.7,23,112,3,0.08,0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,4.5e+07,2020
254,"Jamaal Lascelles","eng ENG","DF","Newcastle Utd",25,1993,24,24,2076,23.1,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.7,3,21,1,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,1.3e+07,2020
259,"Bernd Leno","de GER","GK","Arsenal",27,1992,30,30,2649,29.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e+07,2020
261,"Jamal Lewis","nir NIR","DF","Norwich City",21,1998,28,25,2304,25.6,1,0,1,1,0,0,4,0,0.4,0.4,1,1.4,100,74,106,0.04,0,0.04,0.04,0.04,0.01,0.04,0.05,0.01,0.05,1.5e+07,2020
262,"Victor Lindelöf","se SWE","DF","Manchester Utd",25,1994,35,35,3092,34.4,1,0,1,1,0,0,6,0,0.3,0.3,0.3,0.7,16,111,3,0.03,0,0.03,0.03,0.03,0.01,0.01,0.02,0.01,0.02,2.4e+07,2020
263,"Jesse Lingard","eng ENG","MF,FW","Manchester Utd",26,1992,22,9,935,10.4,1,0,1,1,0,0,3,0,1.9,1.9,1,2.9,28,45,73,0.1,0,0.1,0.1,0.1,0.18,0.09,0.28,0.18,0.28,2.2e+07,2020
263,"Jesse Lingard","eng ENG","MF,FW","Manchester Utd",26,1992,22,9,935,10.4,1,0,1,1,0,0,3,0,1.9,1.9,1,2.9,28,45,73,0.1,0,0.1,0.1,0.1,0.18,0.09,0.28,0.18,0.28,2.2e+07,2020
264,"Hugo Lloris","fr FRA","GK","Tottenham",32,1986,21,21,1807,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,2020
265,"Giovani Lo Celso","ar ARG","MF,FW","Tottenham",23,1996,28,15,1492,16.6,0,2,2,0,0,0,6,0,1.3,1.3,1.6,2.9,62,112,50,0,0.12,0.12,0,0.12,0.08,0.1,0.18,0.08,0.18,2.7e+07,2020
267,"Ruben Loftus-Cheek","eng ENG","MF,FW","Chelsea",23,1996,7,2,208,2.3,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,4,15,11,0,0.43,0.43,0,0.43,0.21,0.18,0.39,0.21,0.39,1.8e+07,2020
267,"Ruben Loftus-Cheek","eng ENG","MF,FW","Chelsea",23,1996,7,2,208,2.3,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,4,15,11,0,0.43,0.43,0,0.43,0.21,0.18,0.39,0.21,0.39,1.8e+07,2020
268,"Kevin Long","ie IRL","DF","Burnley",28,1990,8,6,564,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,8,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,1e+06,2020
269,"Shane Long","ie IRL","FW","Southampton",32,1987,26,15,1395,15.5,2,2,4,2,0,0,0,0,4.8,4.8,2.4,7.2,23,20,105,0.13,0.13,0.26,0.13,0.26,0.31,0.15,0.46,0.31,0.46,1200000,2020
271,"Sean Longstaff","eng ENG","MF","Newcastle Utd",21,1997,23,14,1378,15.3,1,1,2,1,0,0,2,1,1.4,1.4,1.2,2.5,8,33,12,0.07,0.07,0.13,0.07,0.13,0.09,0.08,0.17,0.09,0.17,1.5e+07,2020
273,"Matthew Lowton","eng ENG","DF","Burnley",30,1989,17,17,1530,17,0,1,1,0,0,0,2,0,0,0,1.2,1.2,17,64,42,0,0.06,0.06,0,0.06,0,0.07,0.07,0,0.07,2500000,2020
274,"David Luiz","br BRA","DF","Arsenal",32,1987,33,32,2809,31.2,2,1,3,2,0,0,5,2,1.6,1.6,0.9,2.5,21,106,4,0.06,0.03,0.1,0.06,0.1,0.05,0.03,0.08,0.05,0.08,4e+06,2020
275,"Douglas Luiz","br BRA","MF","Aston Villa",21,1998,36,28,2612,29,3,2,5,3,0,0,8,0,2.6,2.6,1.7,4.2,35,143,46,0.1,0.07,0.17,0.1,0.17,0.09,0.06,0.15,0.09,0.15,3.5e+07,2020
276,"John Lundstram","eng ENG","MF","Sheffield Utd",25,1994,34,26,2458,27.3,5,3,8,5,0,0,5,0,5.3,5.3,3.4,8.7,36,122,111,0.18,0.11,0.29,0.18,0.29,0.19,0.12,0.32,0.19,0.32,7e+06,2020
