"Rk","player_name","Nation","Pos","Squad","Age","Born","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","market_value_euro"
34,"Charlie Austin","eng ENG","FW,MF","West Brom",31,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,3,4,0,0,0,0,0,0.29,0,0.29,0.29,0.29,NA
35,"Jordan Ayew","gh GHA","FW,MF","Crystal Palace",28,1991,33,23,2096,23.3,1,3,4,1,0,0,4,0,2.2,2.2,0.7,2.9,58,35,109,0.04,0.13,0.17,0.04,0.17,0.09,0.03,0.13,0.09,0.13,6e+06
36,"Luke Ayling","eng ENG","DF","Leeds United",28,1991,38,38,3399,37.8,0,0,0,0,0,0,7,0,1.7,1.7,3.2,4.9,110,224,110,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13,4e+06
37,"César Azpilicueta","es ESP","DF","Chelsea",30,1989,26,24,2188,24.3,1,2,3,1,0,0,5,1,0.7,0.7,2.5,3.2,37,135,83,0.04,0.08,0.12,0.04,0.12,0.03,0.1,0.13,0.03,0.13,9e+06
38,"Eric Bailly","ci CIV","DF","Manchester Utd",26,1994,12,10,916,10.2,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,6,37,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,6e+06
39,"Fabián Balbuena","py PAR","DF","West Ham",28,1991,14,13,1198,13.3,1,0,1,1,0,0,1,1,0.7,0.7,0,0.7,3,30,2,0.08,0,0.08,0.08,0.08,0.05,0,0.05,0.05,0.05,NA
40,"George Baldock","gr GRE","DF","Sheffield Utd",27,1993,32,32,2787,31,0,2,2,0,0,0,7,0,1.2,1.2,2.9,4,68,75,140,0,0.06,0.06,0,0.06,0.04,0.09,0.13,0.04,0.13,NA
41,"Gareth Bale","wls WAL","FW","Tottenham",31,1989,20,10,920,10.2,11,2,13,11,0,0,1,0,5.8,5.8,1.8,7.6,31,43,85,1.08,0.2,1.27,1.08,1.27,0.57,0.18,0.74,0.57,0.74,NA
42,"Patrick Bamford","eng ENG","FW","Leeds United",26,1993,38,37,3050,33.9,17,7,24,15,2,2,3,0,18.2,16.6,3.5,20.2,32,31,167,0.5,0.21,0.71,0.44,0.65,0.54,0.1,0.64,0.49,0.6,1.6e+07
43,"Phil Bardsley","sct SCO","DF","Burnley",35,1985,4,3,274,3,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,10,6,0,0,0,0,0,0.03,0,0.03,0.03,0.03,250000
44,"Ross Barkley","eng ENG","MF","Aston Villa",26,1993,24,18,1531,17,3,1,4,3,0,0,0,0,3.1,3.1,4.2,7.3,40,88,73,0.18,0.06,0.24,0.18,0.24,0.18,0.24,0.43,0.18,0.43,1.2e+07
45,"Ross Barkley","eng ENG","FW,MF","Chelsea",26,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,2,1,0,0,0,0,0,0.05,0.19,0.24,0.05,0.24,1.2e+07
46,"Ashley Barnes","eng ENG","FW","Burnley",30,1989,22,15,1331,14.8,3,0,3,2,1,1,4,0,4.1,3.3,0.8,4.1,8,20,79,0.2,0,0.2,0.14,0.14,0.27,0.05,0.33,0.22,0.27,1500000
47,"Harvey Barnes","eng ENG","FW,MF","Leicester City",22,1997,25,22,1945,21.6,9,4,13,9,0,0,0,0,5.9,5.9,1.6,7.5,105,56,163,0.42,0.19,0.6,0.42,0.6,0.27,0.07,0.35,0.27,0.35,3.2e+07
48,"Kyle Bartley","eng ENG","DF","West Brom",29,1991,30,28,2584,28.7,3,1,4,3,0,0,4,0,2.5,2.5,1.4,3.9,2,44,3,0.1,0.03,0.14,0.1,0.14,0.09,0.05,0.14,0.09,0.14,NA
49,"Chris Basham","eng ENG","DF,MF","Sheffield Utd",32,1988,31,31,2576,28.6,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6,38,82,48,0,0.03,0.03,0,0.03,0.03,0.03,0.06,0.03,0.06,NA
50,"Michy Batshuayi","be BEL","FW","Crystal Palace",26,1993,18,7,728,8.1,2,1,3,2,0,0,0,0,1.6,1.6,1.6,3.2,16,13,44,0.25,0.12,0.37,0.25,0.37,0.19,0.2,0.4,0.19,0.4,NA
51,"Jan Bednarek","pl POL","DF","Southampton",24,1996,36,36,3100,34.4,1,1,2,1,0,0,5,1,0.7,0.7,0.6,1.3,13,76,3,0.03,0.03,0.06,0.03,0.06,0.02,0.02,0.04,0.02,0.04,2.2e+07
52,"Donny van de Beek","nl NED","MF,FW","Manchester Utd",23,1997,19,4,524,5.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,7,16,39,0.17,0.17,0.34,0.17,0.34,0.06,0.16,0.22,0.06,0.22,2.5e+07
52,"Donny van de Beek","nl NED","MF,FW","Manchester Utd",23,1997,19,4,524,5.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,7,16,39,0.17,0.17,0.34,0.17,0.34,0.06,0.16,0.22,0.06,0.22,2.5e+07
53,"Héctor Bellerín","es ESP","DF,MF","Arsenal",25,1995,25,24,2089,23.2,1,2,3,1,0,0,8,0,0.8,0.8,2.4,3.2,46,108,142,0.04,0.09,0.13,0.04,0.13,0.03,0.1,0.14,0.03,0.14,2e+07
54,"Saïd Benrahma","dz ALG","FW,MF","West Ham",24,1995,30,14,1391,15.5,1,6,7,1,0,0,0,0,2.6,2.6,4.1,6.7,63,60,107,0.06,0.39,0.45,0.06,0.45,0.17,0.26,0.43,0.17,0.43,2.5e+07
55,"Josh Benson","eng ENG","MF","Burnley",20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,6,8,0,0,0,0,0,0.07,0,0.07,0.07,0.07,NA
56,"Christian Benteke","be BEL","FW","Crystal Palace",29,1990,30,21,1816,20.2,10,1,11,10,0,0,3,1,8.3,8.3,0.9,9.1,14,36,124,0.5,0.05,0.55,0.5,0.55,0.41,0.04,0.45,0.41,0.45,6e+06
57,"Gaetano Berardi","ch SUI","DF","Leeds United",31,1988,2,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,NA
58,"Jóhann Berg Guðmundsson","is ISL","MF","Burnley",29,1990,22,16,1363,15.1,2,0,2,2,0,0,2,0,1.2,1.2,0.5,1.7,25,31,74,0.13,0,0.13,0.13,0.13,0.08,0.03,0.11,0.08,0.11,NA
